init_time,track_id,sample,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-05-14 18:00:00,71W,4,24,3.3000000000000003,168.0,1007.0,16.911408
2026-05-14 18:00:00,71W,4,30,2.0,166.9,1007.0,15.939488000000003
2026-05-14 18:00:00,71W,5,36,18.6,125.9,1005.0,34.98912
2026-05-14 18:00:00,71W,5,54,17.8,126.0,1005.0,32.07336
2026-05-14 18:00:00,71W,5,60,18.0,125.7,1003.0,30.907056
2026-05-14 18:00:00,71W,5,66,17.8,125.9,1005.0,30.907056
2026-05-14 18:00:00,71W,5,84,18.8,125.7,1004.0,28.963216
2026-05-14 18:00:00,71W,5,90,19.900000000000002,126.0,1005.0,27.991296000000002
2026-05-14 18:00:00,71W,5,114,22.3,124.5,1006.0,19.049632000000003
2026-05-14 18:00:00,71W,5,120,23.0,124.5,1006.0,20.021552
2026-05-14 18:00:00,71W,5,126,23.6,124.7,1008.0,18.077712000000002
2026-05-14 18:00:00,71W,10,96,9.9,142.8,1007.0,22.937312000000002
2026-05-14 18:00:00,71W,10,102,9.5,140.9,1009.0,21.965392
2026-05-14 18:00:00,71W,10,108,10.9,139.9,1007.0,23.909232000000003
2026-05-14 18:00:00,71W,10,114,11.700000000000001,138.5,1009.0,21.965392
2026-05-14 18:00:00,71W,10,120,12.0,137.0,1005.0,25.075536
2026-05-14 18:00:00,71W,10,126,12.4,135.5,1006.0,34.0172
2026-05-14 18:00:00,71W,10,132,12.6,134.2,1005.0,39.071184
